mode,step_index,day,timestamp,abs_timestamp,product,side,price,quantity,fill_type,source_order_price,book_origin,access_source,spread,imbalance,micro_gap,toxicity_bucket,conviction_bucket,spread_bucket,agreement_state,access_added_levels,cash_flow_signed,residual_to_trend,markout
access,251,-1,25100,-974900,ASH_COATED_OSMIUM,SELL,10002,8,aggressive_cross,10002,public,access,6.0,-0.111111,-0.3333,low,mild,tight,agree,0,80016,0.0,4.0
access,304,-1,30400,-969600,ASH_COATED_OSMIUM,SELL,10008,2,passive_resting_fill,10008,public,access,16.0,0.0,0.0,low,mild,normal,agree,2,20016,0.0,10.0
access,304,-1,30400,-969600,ASH_COATED_OSMIUM,SELL,10010,2,passive_resting_fill,10010,public,access,16.0,0.0,0.0,low,mild,normal,agree,2,20020,0.0,14.0
access,340,-1,34000,-966000,ASH_COATED_OSMIUM,SELL,10008,7,passive_resting_fill,10008,public,access,15.0,0.153846,1.1538,high,strong,normal,agree,1,70056,0.0,38.5
access,340,-1,34000,-966000,ASH_COATED_OSMIUM,SELL,10010,6,passive_resting_fill,10010,public,access,15.0,0.153846,1.1538,high,strong,normal,agree,1,60060,0.0,45.0
access,345,-1,34500,-965500,ASH_COATED_OSMIUM,BUY,9995,8,passive_resting_fill,9995,access,access,15.0,-0.2,-1.5,high,extreme,normal,agree,2,-79960,0.0,52.0
access,365,-1,36500,-963500,ASH_COATED_OSMIUM,SELL,10012,3,passive_resting_fill,10012,public,access,0.0,0.0,0.0,low,mild,tight,agree,0,30036,0.0,28.5
access,378,-1,37800,-962200,ASH_COATED_OSMIUM,SELL,10006,2,aggressive_cross,10006,access,access,7.0,-0.411765,-1.4412,high,extreme,tight,agree,2,20012,0.0,6.0
access,378,-1,37800,-962200,ASH_COATED_OSMIUM,SELL,10006,10,aggressive_cross,10006,access,access,7.0,-0.411765,-1.4412,high,extreme,tight,agree,2,100060,0.0,30.0
access,379,-1,37900,-962100,ASH_COATED_OSMIUM,BUY,10006,4,passive_resting_fill,10006,public,access,15.0,0.371429,2.7857,high,extreme,normal,agree,1,-40024,0.0,-6.0
access,379,-1,37900,-962100,ASH_COATED_OSMIUM,BUY,10004,4,passive_resting_fill,10004,public,access,15.0,0.371429,2.7857,high,extreme,normal,agree,1,-40016,0.0,2.0
access,384,-1,38400,-961600,ASH_COATED_OSMIUM,SELL,10011,3,passive_resting_fill,10011,public,access,15.0,0.405405,3.0405,high,extreme,normal,agree,1,30033,0.0,28.5
access,391,-1,39100,-960900,ASH_COATED_OSMIUM,SELL,10009,6,passive_resting_fill,10009,public,access,15.0,-0.375,-2.8125,high,extreme,normal,agree,1,60054,0.0,36.0
access,391,-1,39100,-960900,ASH_COATED_OSMIUM,SELL,10011,6,passive_resting_fill,10011,public,access,15.0,-0.375,-2.8125,high,extreme,normal,agree,1,60066,0.0,48.0
access,399,-1,39900,-960100,ASH_COATED_OSMIUM,SELL,10009,7,passive_resting_fill,10009,public,access,20.0,-0.263158,-2.6316,high,extreme,wide,agree,1,70063,0.0,56.0
access,399,-1,39900,-960100,ASH_COATED_OSMIUM,SELL,10011,7,passive_resting_fill,10011,public,access,20.0,-0.263158,-2.6316,high,extreme,wide,agree,1,70077,0.0,70.0
access,415,-1,41500,-958500,ASH_COATED_OSMIUM,SELL,10008,5,passive_resting_fill,10008,access,access,15.0,0.043478,0.3261,low,mild,normal,agree,1,50040,0.0,47.5
access,418,-1,41800,-958200,ASH_COATED_OSMIUM,SELL,10001,5,aggressive_cross,10001,public,access,7.0,-0.411765,-1.4412,high,extreme,tight,agree,0,50005,0.0,10.0
access,442,-1,44200,-955800,ASH_COATED_OSMIUM,BUY,9996,2,aggressive_cross,9996,public,access,5.0,0.555556,1.3889,high,extreme,tight,agree,1,-19992,0.0,8.0
access,442,-1,44200,-955800,ASH_COATED_OSMIUM,BUY,9996,8,aggressive_cross,9996,public,access,5.0,0.555556,1.3889,high,extreme,tight,agree,1,-79968,0.0,32.0
access,448,-1,44800,-955200,ASH_COATED_OSMIUM,BUY,9997,2,aggressive_cross,9997,public,access,6.0,0.272727,0.8182,medium,strong,tight,agree,0,-19994,0.0,-10.0
access,448,-1,44800,-955200,ASH_COATED_OSMIUM,BUY,9997,8,aggressive_cross,9997,public,access,6.0,0.272727,0.8182,medium,strong,tight,agree,0,-79976,0.0,-40.0
access,452,-1,45200,-954800,ASH_COATED_OSMIUM,BUY,9997,2,aggressive_cross,9997,public,access,5.0,0.25,0.625,medium,strong,tight,agree,0,-19994,0.0,6.0
access,452,-1,45200,-954800,ASH_COATED_OSMIUM,BUY,9997,6,aggressive_cross,9997,public,access,5.0,0.25,0.625,medium,strong,tight,agree,0,-59982,0.0,18.0
access,465,-1,46500,-953500,ASH_COATED_OSMIUM,SELL,10001,2,aggressive_cross,10001,public,access,9.0,-0.37931,-1.7069,high,extreme,normal,agree,0,20002,0.0,10.0
access,465,-1,46500,-953500,ASH_COATED_OSMIUM,SELL,10001,8,aggressive_cross,10001,public,access,9.0,-0.37931,-1.7069,high,extreme,normal,agree,0,80008,0.0,40.0
access,494,-1,49400,-950600,ASH_COATED_OSMIUM,SELL,10003,2,aggressive_cross,10003,public,access,6.0,-0.538462,-1.6154,high,extreme,tight,agree,1,20006,0.0,3.0
access,494,-1,49400,-950600,ASH_COATED_OSMIUM,SELL,10003,8,aggressive_cross,10003,public,access,6.0,-0.538462,-1.6154,high,extreme,tight,agree,1,80024,0.0,12.0
access,509,-1,50900,-949100,ASH_COATED_OSMIUM,BUY,9993,5,passive_resting_fill,9993,public,access,18.0,0.06383,0.5745,medium,strong,wide,agree,2,-49965,0.0,40.0
access,509,-1,50900,-949100,ASH_COATED_OSMIUM,BUY,9991,5,passive_resting_fill,9991,access,access,18.0,0.06383,0.5745,medium,strong,wide,agree,2,-49955,0.0,50.0
access,538,-1,53800,-946200,ASH_COATED_OSMIUM,BUY,9995,2,aggressive_cross,9995,public,access,6.0,0.157895,0.4737,medium,mild,tight,agree,1,-19990,0.0,2.0
access,538,-1,53800,-946200,ASH_COATED_OSMIUM,BUY,9995,8,aggressive_cross,9995,public,access,6.0,0.157895,0.4737,medium,mild,tight,agree,1,-79960,0.0,8.0
access,546,-1,54600,-945400,ASH_COATED_OSMIUM,BUY,9987,6,passive_resting_fill,9987,public,access,18.0,0.017544,0.1579,low,mild,wide,agree,1,-59922,0.0,63.0
access,581,-1,58100,-941900,ASH_COATED_OSMIUM,BUY,9996,8,aggressive_cross,9996,public,access,5.0,0.142857,0.3571,medium,mild,tight,agree,1,-79968,0.0,16.0
access,595,-1,59500,-940500,ASH_COATED_OSMIUM,SELL,10005,2,passive_resting_fill,10005,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,20010,0.0,14.0
access,595,-1,59500,-940500,ASH_COATED_OSMIUM,SELL,10007,2,passive_resting_fill,10007,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,20014,0.0,18.0
access,616,-1,61600,-938400,ASH_COATED_OSMIUM,BUY,9996,2,aggressive_cross,9996,public,access,6.0,0.529412,1.5882,high,extreme,tight,agree,0,-19992,0.0,5.0
access,616,-1,61600,-938400,ASH_COATED_OSMIUM,BUY,9996,4,aggressive_cross,9996,public,access,6.0,0.529412,1.5882,high,extreme,tight,agree,0,-39984,0.0,10.0
access,620,-1,62000,-938000,ASH_COATED_OSMIUM,SELL,10006,6,passive_resting_fill,10006,public,access,14.0,0.0,0.0,low,mild,normal,agree,2,60036,0.0,33.0
access,620,-1,62000,-938000,ASH_COATED_OSMIUM,SELL,10008,4,passive_resting_fill,10008,public,access,14.0,0.0,0.0,low,mild,normal,agree,2,40032,0.0,30.0
access,637,-1,63700,-936300,ASH_COATED_OSMIUM,BUY,9992,2,passive_resting_fill,9992,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,-19984,0.0,11.0
access,637,-1,63700,-936300,ASH_COATED_OSMIUM,BUY,9990,2,passive_resting_fill,9990,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,-19980,0.0,15.0
access,649,-1,64900,-935100,ASH_COATED_OSMIUM,SELL,10003,4,passive_resting_fill,10003,public,access,15.0,0.333333,2.5,high,extreme,normal,agree,1,40012,0.0,22.0
access,649,-1,64900,-935100,ASH_COATED_OSMIUM,SELL,10005,4,passive_resting_fill,10005,public,access,15.0,0.333333,2.5,high,extreme,normal,agree,1,40020,0.0,30.0
access,653,-1,65300,-934700,ASH_COATED_OSMIUM,BUY,9991,2,passive_resting_fill,9991,public,access,15.0,-0.153846,-1.1538,high,strong,normal,agree,1,-19982,0.0,12.0
access,653,-1,65300,-934700,ASH_COATED_OSMIUM,BUY,9989,2,passive_resting_fill,9989,public,access,15.0,-0.153846,-1.1538,high,strong,normal,agree,1,-19978,0.0,16.0
access,655,-1,65500,-934500,ASH_COATED_OSMIUM,BUY,9994,8,aggressive_cross,9994,public,access,5.0,0.157895,0.3947,medium,mild,tight,agree,0,-79952,0.0,32.0
access,723,-1,72300,-927700,ASH_COATED_OSMIUM,BUY,9997,2,aggressive_cross,9997,public,access,5.0,0.166667,0.4167,medium,mild,tight,agree,1,-19994,0.0,-3.0
access,723,-1,72300,-927700,ASH_COATED_OSMIUM,BUY,9997,8,aggressive_cross,9997,public,access,5.0,0.166667,0.4167,medium,mild,tight,agree,1,-79976,0.0,-12.0
access,728,-1,72800,-927200,ASH_COATED_OSMIUM,BUY,9998,2,aggressive_cross,9998,public,access,5.0,0.444444,1.1111,high,strong,tight,agree,0,-19996,0.0,4.0
access,728,-1,72800,-927200,ASH_COATED_OSMIUM,BUY,9998,4,aggressive_cross,9998,public,access,5.0,0.444444,1.1111,high,strong,tight,agree,0,-39992,0.0,8.0
access,734,-1,73400,-926600,ASH_COATED_OSMIUM,SELL,9997,2,aggressive_cross,9997,public,access,10.0,-0.826087,-4.1304,high,extreme,normal,agree,1,19994,0.0,-2.0
access,734,-1,73400,-926600,ASH_COATED_OSMIUM,SELL,9997,2,aggressive_cross,9997,public,access,10.0,-0.826087,-4.1304,high,extreme,normal,agree,1,19994,0.0,-2.0
access,765,-1,76500,-923500,ASH_COATED_OSMIUM,SELL,10008,8,passive_resting_fill,10008,public,access,18.0,0.0,0.0,low,mild,wide,agree,1,80064,0.0,36.0
access,765,-1,76500,-923500,ASH_COATED_OSMIUM,SELL,10010,5,passive_resting_fill,10010,public,access,18.0,0.0,0.0,low,mild,wide,agree,1,50050,0.0,32.5
access,773,-1,77300,-922700,ASH_COATED_OSMIUM,SELL,9999,2,aggressive_cross,9999,public,access,9.0,-0.75,-3.375,high,extreme,normal,agree,1,19998,0.0,6.0
access,773,-1,77300,-922700,ASH_COATED_OSMIUM,SELL,9999,4,aggressive_cross,9999,public,access,9.0,-0.75,-3.375,high,extreme,normal,agree,1,39996,0.0,12.0
access,778,-1,77800,-922200,ASH_COATED_OSMIUM,BUY,9999,2,aggressive_cross,9999,public,access,6.0,0.333333,1.0,high,strong,tight,agree,0,-19998,0.0,5.0
access,778,-1,77800,-922200,ASH_COATED_OSMIUM,BUY,9999,4,aggressive_cross,9999,public,access,6.0,0.333333,1.0,high,strong,tight,agree,0,-39996,0.0,10.0
access,803,-1,80300,-919700,ASH_COATED_OSMIUM,SELL,10003,2,aggressive_cross,10003,public,access,7.0,-0.555556,-1.9444,high,extreme,tight,agree,0,20006,0.0,16.0
access,803,-1,80300,-919700,ASH_COATED_OSMIUM,SELL,10003,4,aggressive_cross,10003,public,access,7.0,-0.555556,-1.9444,high,extreme,tight,agree,0,40012,0.0,32.0
access,836,-1,83600,-916400,ASH_COATED_OSMIUM,SELL,9999,2,aggressive_cross,9999,public,access,9.0,-0.764706,-3.4412,high,extreme,normal,agree,1,19998,0.0,10.0
access,836,-1,83600,-916400,ASH_COATED_OSMIUM,SELL,9999,2,aggressive_cross,9999,public,access,9.0,-0.764706,-3.4412,high,extreme,normal,agree,1,19998,0.0,10.0
access,837,-1,83700,-916300,ASH_COATED_OSMIUM,SELL,10007,2,passive_resting_fill,10007,public,access,15.0,0.153846,1.1538,high,strong,normal,agree,1,20014,0.0,8.0
access,837,-1,83700,-916300,ASH_COATED_OSMIUM,SELL,10009,2,passive_resting_fill,10009,public,access,15.0,0.153846,1.1538,high,strong,normal,agree,1,20018,0.0,12.0
access,855,-1,85500,-914500,ASH_COATED_OSMIUM,BUY,9996,7,passive_resting_fill,9996,access,access,15.0,0.12,0.9,medium,strong,normal,agree,1,-69972,0.0,112.0
access,859,-1,85900,-914100,ASH_COATED_OSMIUM,BUY,9996,5,passive_resting_fill,9996,access,access,15.0,-0.076923,-0.5769,medium,strong,normal,agree,1,-49980,0.0,40.0
access,876,-1,87600,-912400,ASH_COATED_OSMIUM,SELL,10001,2,aggressive_cross,10001,public,access,13.0,-0.666667,-4.3333,high,extreme,normal,agree,1,20002,0.0,-3.0
access,876,-1,87600,-912400,ASH_COATED_OSMIUM,SELL,10001,5,aggressive_cross,10001,public,access,13.0,-0.666667,-4.3333,high,extreme,normal,agree,1,50005,0.0,-7.5
access,878,-1,87800,-912200,ASH_COATED_OSMIUM,SELL,10006,8,aggressive_cross,10006,access,access,5.0,0.166667,0.4167,medium,mild,tight,agree,1,80048,0.0,24.0
access,879,-1,87900,-912100,ASH_COATED_OSMIUM,BUY,10001,5,passive_resting_fill,10001,public,access,18.0,0.393939,3.5455,high,extreme,wide,agree,0,-50005,0.0,-2.5
access,879,-1,87900,-912100,ASH_COATED_OSMIUM,BUY,9999,5,passive_resting_fill,9999,public,access,18.0,0.393939,3.5455,high,extreme,wide,agree,0,-49995,0.0,7.5
access,883,-1,88300,-911700,ASH_COATED_OSMIUM,SELL,10010,2,passive_resting_fill,10010,public,access,16.0,0.0,0.0,low,mild,normal,agree,1,20020,0.0,18.0
access,907,-1,90700,-909300,ASH_COATED_OSMIUM,SELL,10011,2,passive_resting_fill,10011,public,access,19.0,-0.317073,-3.0122,high,extreme,wide,agree,0,20022,0.0,12.0
access,907,-1,90700,-909300,ASH_COATED_OSMIUM,SELL,10013,2,passive_resting_fill,10013,public,access,19.0,-0.317073,-3.0122,high,extreme,wide,agree,0,20026,0.0,16.0
access,908,-1,90800,-909200,ASH_COATED_OSMIUM,BUY,9997,6,passive_resting_fill,9997,public,access,18.0,0.333333,3.0,high,extreme,wide,agree,0,-59982,0.0,60.0
access,908,-1,90800,-909200,ASH_COATED_OSMIUM,BUY,9995,5,passive_resting_fill,9995,public,access,18.0,0.333333,3.0,high,extreme,wide,agree,0,-49975,0.0,60.0
access,911,-1,91100,-908900,ASH_COATED_OSMIUM,SELL,10002,3,aggressive_cross,10002,public,access,10.0,-0.538462,-2.6923,high,extreme,normal,agree,1,30006,0.0,-4.5
access,930,-1,93000,-907000,ASH_COATED_OSMIUM,SELL,10005,2,aggressive_cross,10005,public,access,9.0,-0.483871,-2.1774,high,extreme,normal,agree,0,20010,0.0,4.0
access,930,-1,93000,-907000,ASH_COATED_OSMIUM,SELL,10005,8,aggressive_cross,10005,public,access,9.0,-0.483871,-2.1774,high,extreme,normal,agree,0,80040,0.0,16.0
access,987,-1,98700,-901300,ASH_COATED_OSMIUM,BUY,9997,2,aggressive_cross,9997,public,access,8.0,0.733333,2.9333,high,extreme,tight,agree,0,-19994,0.0,6.0
access,987,-1,98700,-901300,ASH_COATED_OSMIUM,BUY,9997,4,aggressive_cross,9997,public,access,8.0,0.733333,2.9333,high,extreme,tight,agree,0,-39988,0.0,12.0
access,1059,-1,105900,-894100,ASH_COATED_OSMIUM,SELL,10008,5,passive_resting_fill,10008,public,access,19.0,-0.333333,-3.1667,high,extreme,wide,agree,0,50040,0.0,40.0
access,1059,-1,105900,-894100,ASH_COATED_OSMIUM,SELL,10010,5,passive_resting_fill,10010,public,access,19.0,-0.333333,-3.1667,high,extreme,wide,agree,0,50050,0.0,50.0
access,1072,-1,107200,-892800,ASH_COATED_OSMIUM,BUY,9992,3,passive_resting_fill,9992,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,-29976,0.0,25.5
access,1116,-1,111600,-888400,ASH_COATED_OSMIUM,BUY,9994,5,passive_resting_fill,9994,public,access,15.0,-0.071429,-0.5357,medium,strong,normal,agree,1,-49970,0.0,40.0
access,1116,-1,111600,-888400,ASH_COATED_OSMIUM,BUY,9992,5,passive_resting_fill,9992,public,access,15.0,-0.071429,-0.5357,medium,strong,normal,agree,1,-49960,0.0,50.0
access,1147,-1,114700,-885300,ASH_COATED_OSMIUM,BUY,9992,3,passive_resting_fill,9992,access,access,15.0,0.130435,0.9783,high,strong,normal,agree,1,-29976,0.0,19.5
access,1151,-1,115100,-884900,ASH_COATED_OSMIUM,SELL,10000,2,aggressive_cross,10000,public,access,9.0,-0.470588,-2.1176,high,extreme,normal,agree,0,20000,0.0,10.0
access,1151,-1,115100,-884900,ASH_COATED_OSMIUM,SELL,10000,8,aggressive_cross,10000,public,access,9.0,-0.470588,-2.1176,high,extreme,normal,agree,0,80000,0.0,40.0
access,1161,-1,116100,-883900,ASH_COATED_OSMIUM,BUY,9991,8,passive_resting_fill,9991,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,-79928,0.0,72.0
access,1161,-1,116100,-883900,ASH_COATED_OSMIUM,BUY,9989,7,passive_resting_fill,9989,public,access,16.0,0.0,0.0,low,mild,normal,agree,0,-69923,0.0,77.0
access,1191,-1,119100,-880900,ASH_COATED_OSMIUM,SELL,10001,2,aggressive_cross,10001,public,access,6.0,-0.130435,-0.3913,medium,mild,tight,agree,0,20002,0.0,2.0
access,1191,-1,119100,-880900,ASH_COATED_OSMIUM,SELL,10001,10,aggressive_cross,10001,public,access,6.0,-0.130435,-0.3913,medium,mild,tight,agree,0,100010,0.0,10.0
access,1220,-1,122000,-878000,ASH_COATED_OSMIUM,SELL,10005,10,passive_resting_fill,10005,public,access,16.0,0.0,0.0,low,mild,normal,agree,1,100050,0.0,60.0
access,1220,-1,122000,-878000,ASH_COATED_OSMIUM,SELL,10007,7,passive_resting_fill,10007,public,access,16.0,0.0,0.0,low,mild,normal,agree,1,70049,0.0,56.0
access,1223,-1,122300,-877700,ASH_COATED_OSMIUM,SELL,10006,5,passive_resting_fill,10006,public,access,16.0,0.0,0.0,low,mild,normal,agree,2,50030,0.0,37.5
access,1226,-1,122600,-877400,ASH_COATED_OSMIUM,BUY,9996,8,aggressive_cross,9996,public,access,5.0,0.142857,0.3571,medium,mild,tight,agree,2,-79968,0.0,24.0
access,1245,-1,124500,-875500,ASH_COATED_OSMIUM,BUY,9990,2,passive_resting_fill,9990,access,access,15.0,0.043478,0.3261,low,mild,normal,agree,2,-19980,0.0,14.0
access,1264,-1,126400,-873600,ASH_COATED_OSMIUM,BUY,9989,6,passive_resting_fill,9989,access,access,14.0,-0.272727,-1.9091,high,extreme,normal,agree,2,-59934,0.0,-12.0
access,1265,-1,126500,-873500,ASH_COATED_OSMIUM,BUY,9990,6,passive_resting_fill,9990,public,access,17.0,0.2,1.7,high,extreme,wide,agree,1,-59940,0.0,30.0
access,1265,-1,126500,-873500,ASH_COATED_OSMIUM,BUY,9988,6,passive_resting_fill,9988,public,access,17.0,0.2,1.7,high,extreme,wide,agree,1,-59928,0.0,42.0
access,1268,-1,126800,-873200,ASH_COATED_OSMIUM,BUY,9993,5,aggressive_cross,9993,public,access,8.0,0.714286,2.8571,high,extreme,tight,agree,0,-49965,0.0,20.0
