day,timestamp,product,mark,side,side_sign,counterparty,trade_price,qty,cur_mid,edge_vs_mid,side_midchg_100,trade_markout_100,follow_cross_to_mid_100,follow_passive_to_mid_100,side_midchg_500,trade_markout_500,follow_cross_to_mid_500,follow_passive_to_mid_500,side_midchg_1000,trade_markout_1000,follow_cross_to_mid_1000,follow_passive_to_mid_1000,side_midchg_2000,trade_markout_2000,follow_cross_to_mid_2000,follow_passive_to_mid_2000,side_midchg_5000,trade_markout_5000,follow_cross_to_mid_5000,follow_passive_to_mid_5000,side_midchg_10000,trade_markout_10000,follow_cross_to_mid_10000,follow_passive_to_mid_10000
1,139700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5257.0,8,5256.0,-1.0,2.5,1.5,-2.5,2.5,1.5,0.5,-3.5,1.5,-0.5,-1.5,-5.5,-0.5,3.5,2.5,-1.5,3.5,5.5,4.5,0.5,5.5,9.5,8.5,4.5,9.5
1,163300,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5254.0,10,5253.0,-1.0,1.5,0.5,-2.5,2.5,2.0,1.0,-2.0,3.0,-1.5,-2.5,-5.5,-0.5,-1.5,-2.5,-5.5,-0.5,-1.0,-2.0,-5.0,0.0,-4.0,-5.0,-8.0,-3.0
1,197600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5237.0,9,5236.5,-0.5,1.5,1.0,-3.0,3.0,2.0,1.5,-2.5,3.5,7.0,6.5,2.5,8.5,0.5,0.0,-4.0,2.0,7.0,6.5,2.5,8.5,11.5,11.0,7.0,13.0
1,242900,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5254.0,5,5253.0,-1.0,2.5,1.5,-2.5,2.5,1.5,0.5,-3.5,1.5,3.5,2.5,-1.5,3.5,3.5,2.5,-1.5,3.5,4.0,3.0,-1.0,4.0,12.5,11.5,7.5,12.5
1,251900,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5263.0,14,5262.0,-1.0,2.5,1.5,-2.5,2.5,2.5,1.5,-2.5,2.5,3.5,2.5,-1.5,3.5,1.5,0.5,-3.5,1.5,3.5,2.5,-1.5,3.5,-7.0,-8.0,-12.0,-7.0
1,258400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5257.0,8,5256.0,-1.0,1.5,0.5,-2.5,2.5,2.0,1.0,-2.0,3.0,3.5,2.5,-0.5,4.5,-2.5,-3.5,-6.5,-1.5,-0.5,-1.5,-4.5,0.5,-9.5,-10.5,-13.5,-8.5
1,265400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5250.0,9,5249.0,-1.0,1.5,0.5,-2.5,2.5,1.5,0.5,-2.5,2.5,1.5,0.5,-2.5,2.5,1.5,0.5,-2.5,2.5,6.5,5.5,2.5,7.5,9.5,8.5,5.5,10.5
1,272600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5261.0,7,5260.0,-1.0,1.5,0.5,-2.5,2.5,0.5,-0.5,-3.5,1.5,1.0,0.0,-3.0,2.0,-1.5,-2.5,-5.5,-0.5,-8.5,-9.5,-12.5,-7.5,1.5,0.5,-2.5,2.5
1,281400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5253.0,15,5252.5,-0.5,4.0,3.5,-2.5,2.5,4.0,3.5,-2.5,2.5,8.0,7.5,1.5,6.5,4.0,3.5,-2.5,2.5,11.0,10.5,4.5,9.5,20.5,20.0,14.0,19.0
1,289200,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5266.0,11,5265.5,-0.5,1.5,1.0,-3.0,3.0,4.0,3.5,-0.5,5.5,8.0,7.5,3.5,9.5,8.0,7.5,3.5,9.5,6.5,6.0,2.0,8.0,2.5,2.0,-2.0,4.0
1,291800,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5270.0,5,5269.0,-1.0,2.5,1.5,-2.5,2.5,3.5,2.5,-1.5,3.5,3.5,2.5,-1.5,3.5,1.5,0.5,-3.5,1.5,4.5,3.5,-0.5,4.5,-0.5,-1.5,-5.5,-0.5
1,308100,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5271.0,6,5270.0,-1.0,2.0,1.0,-3.0,3.0,-0.5,-1.5,-5.5,0.5,-2.5,-3.5,-7.5,-1.5,-1.5,-2.5,-6.5,-0.5,-7.5,-8.5,-12.5,-6.5,-22.5,-23.5,-27.5,-21.5
1,310500,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5266.0,11,5265.5,-0.5,1.0,0.5,-2.5,2.5,-1.0,-1.5,-4.5,0.5,-1.0,-1.5,-4.5,0.5,-1.0,-1.5,-4.5,0.5,-14.0,-14.5,-17.5,-12.5,-20.5,-21.0,-24.0,-19.0
1,340500,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5249.0,9,5248.5,-0.5,2.0,1.5,-2.5,2.5,2.0,1.5,-2.5,2.5,0.0,-0.5,-4.5,0.5,1.0,0.5,-3.5,1.5,-2.0,-2.5,-6.5,-1.5,-2.0,-2.5,-6.5,-1.5
1,343400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5251.0,13,5250.5,-0.5,1.0,0.5,-2.5,2.5,1.0,0.5,-2.5,2.5,-3.5,-4.0,-7.0,-2.0,-5.0,-5.5,-8.5,-3.5,-0.5,-1.0,-4.0,1.0,-5.5,-6.0,-9.0,-4.0
1,367900,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5248.0,5,5247.0,-1.0,3.0,2.0,-3.0,3.0,5.0,4.0,-1.0,5.0,4.0,3.0,-2.0,4.0,4.5,3.5,-1.5,4.5,6.5,5.5,0.5,6.5,1.5,0.5,-4.5,1.5
1,390100,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5244.0,10,5243.0,-1.0,2.0,1.0,-3.0,3.0,1.5,0.5,-3.5,2.5,1.0,0.0,-4.0,2.0,1.5,0.5,-3.5,2.5,-4.0,-5.0,-9.0,-3.0,-0.5,-1.5,-5.5,0.5
1,480100,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5250.0,10,5249.0,-1.0,2.5,1.5,-2.5,2.5,-0.5,-1.5,-5.5,-0.5,-0.5,-1.5,-5.5,-0.5,-5.5,-6.5,-10.5,-5.5,-7.0,-8.0,-12.0,-7.0,-6.5,-7.5,-11.5,-6.5
1,509700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5260.0,13,5259.5,-0.5,3.0,2.5,-2.5,2.5,3.0,2.5,-2.5,2.5,3.5,3.0,-2.0,3.0,6.0,5.5,0.5,5.5,9.0,8.5,3.5,8.5,0.0,-0.5,-5.5,-0.5
1,524500,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5259.0,7,5258.0,-1.0,1.5,0.5,-2.5,2.5,1.5,0.5,-2.5,2.5,-2.0,-3.0,-6.0,-1.0,-3.5,-4.5,-7.5,-2.5,-4.5,-5.5,-8.5,-3.5,-12.5,-13.5,-16.5,-11.5
1,551600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5234.0,8,5233.0,-1.0,0.5,-0.5,-2.5,2.5,1.0,0.0,-2.0,3.0,0.5,-0.5,-2.5,2.5,-5.5,-6.5,-8.5,-3.5,-7.5,-8.5,-10.5,-5.5,-4.5,-5.5,-7.5,-2.5
1,564000,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5231.0,12,5230.5,-0.5,3.0,2.5,-2.5,2.5,2.0,1.5,-3.5,1.5,3.0,2.5,-2.5,2.5,4.0,3.5,-1.5,3.5,9.0,8.5,3.5,8.5,4.5,4.0,-1.0,4.0
1,570200,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5236.0,7,5235.0,-1.0,1.0,0.0,-3.0,3.0,0.5,-0.5,-3.5,2.5,2.5,1.5,-1.5,4.5,1.5,0.5,-2.5,3.5,-5.0,-6.0,-9.0,-3.0,-2.5,-3.5,-6.5,-0.5
1,575800,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5235.0,8,5234.0,-1.0,0.5,-0.5,-2.5,2.5,2.0,1.0,-1.0,4.0,0.0,-1.0,-3.0,2.0,3.5,2.5,0.5,5.5,2.5,1.5,-0.5,4.5,4.5,3.5,1.5,6.5
1,578400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5237.0,5,5236.0,-1.0,0.5,-0.5,-2.5,2.5,0.5,-0.5,-2.5,2.5,1.5,0.5,-1.5,3.5,-2.5,-3.5,-5.5,-0.5,2.5,1.5,-0.5,4.5,7.5,6.5,4.5,9.5
1,608500,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5218.0,10,5217.0,-1.0,0.5,-0.5,-2.5,2.5,5.0,4.0,2.0,7.0,7.5,6.5,4.5,9.5,6.5,5.5,3.5,8.5,11.0,10.0,8.0,13.0,14.5,13.5,11.5,16.5
1,622400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5235.0,13,5234.5,-0.5,3.0,2.5,-2.5,2.5,3.0,2.5,-2.5,2.5,3.0,2.5,-2.5,2.5,4.0,3.5,-1.5,3.5,-6.0,-6.5,-11.5,-6.5,-16.0,-16.5,-21.5,-16.5
1,632800,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5216.0,7,5215.0,-1.0,1.5,0.5,-2.5,2.5,1.5,0.5,-2.5,2.5,2.5,1.5,-1.5,3.5,0.0,-1.0,-4.0,1.0,-0.5,-1.5,-4.5,0.5,-2.5,-3.5,-6.5,-1.5
1,634800,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5216.0,8,5215.0,-1.0,1.5,0.5,-2.5,2.5,1.0,0.0,-3.0,2.0,6.5,5.5,2.5,7.5,4.0,3.0,0.0,5.0,1.5,0.5,-2.5,2.5,-7.5,-8.5,-11.5,-6.5
1,693600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5235.0,5,5234.0,-1.0,1.5,0.5,-2.5,2.5,4.0,3.0,0.0,5.0,5.5,4.5,1.5,6.5,7.5,6.5,3.5,8.5,1.5,0.5,-2.5,2.5,18.5,17.5,14.5,19.5
1,703100,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5249.0,7,5248.0,-1.0,2.5,1.5,-2.5,2.5,4.5,3.5,-0.5,4.5,7.5,6.5,2.5,7.5,6.5,5.5,1.5,6.5,3.5,2.5,-1.5,3.5,18.5,17.5,13.5,18.5
1,713400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5269.0,13,5268.5,-0.5,2.5,2.0,-3.0,3.0,4.0,3.5,-1.5,4.5,3.0,2.5,-2.5,3.5,2.5,2.0,-3.0,3.0,-1.5,-2.0,-7.0,-1.0,-1.0,-1.5,-6.5,-0.5
1,803400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5240.0,5,5239.0,-1.0,2.5,1.5,-2.5,2.5,2.5,1.5,-2.5,2.5,2.5,1.5,-2.5,2.5,2.5,1.5,-2.5,2.5,12.0,11.0,7.0,12.0,-10.0,-11.0,-15.0,-10.0
1,812900,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5233.0,7,5232.0,-1.0,-0.5,-1.5,-2.5,2.5,-3.0,-4.0,-5.0,0.0,-2.5,-3.5,-4.5,0.5,-3.5,-4.5,-5.5,-0.5,-1.0,-2.0,-3.0,2.0,13.5,12.5,11.5,16.5
1,838700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5252.0,11,5251.5,-0.5,0.5,0.0,-3.0,3.0,0.0,-0.5,-3.5,2.5,2.0,1.5,-1.5,4.5,3.5,3.0,0.0,6.0,5.5,5.0,2.0,8.0,12.0,11.5,8.5,14.5
1,839600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5253.0,8,5252.0,-1.0,1.5,0.5,-2.5,2.5,1.5,0.5,-2.5,2.5,3.5,2.5,-0.5,4.5,5.5,4.5,1.5,6.5,5.5,4.5,1.5,6.5,15.5,14.5,11.5,16.5
1,845400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5256.0,8,5255.5,-0.5,1.5,1.0,-3.0,3.0,4.0,3.5,-0.5,5.5,6.0,5.5,1.5,7.5,4.5,4.0,0.0,6.0,6.0,5.5,1.5,7.5,20.0,19.5,15.5,21.5
1,850600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5261.0,5,5260.0,-1.0,2.5,1.5,-2.5,2.5,1.5,0.5,-3.5,1.5,1.5,0.5,-3.5,1.5,6.5,5.5,1.5,6.5,14.0,13.0,9.0,14.0,-2.0,-3.0,-7.0,-2.0
1,863300,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5254.0,12,5253.5,-0.5,2.0,1.5,-2.5,2.5,1.0,0.5,-3.5,1.5,0.5,0.0,-4.0,1.0,1.0,0.5,-3.5,1.5,-3.0,-3.5,-7.5,-2.5,-11.0,-11.5,-15.5,-10.5
1,879700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5238.0,11,5237.5,-0.5,2.0,1.5,-2.5,2.5,2.0,1.5,-2.5,2.5,0.0,-0.5,-4.5,0.5,7.0,6.5,2.5,7.5,19.0,18.5,14.5,19.5,10.0,9.5,5.5,10.5
1,882600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5248.0,10,5247.0,-1.0,2.5,1.5,-2.5,2.5,0.0,-1.0,-5.0,0.0,3.0,2.0,-2.0,3.0,9.5,8.5,4.5,9.5,7.5,6.5,2.5,7.5,3.5,2.5,-1.5,3.5
1,896900,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5247.0,11,5246.5,-0.5,3.0,2.5,-1.5,1.5,2.0,1.5,-2.5,0.5,0.0,-0.5,-4.5,-1.5,2.0,1.5,-2.5,0.5,9.0,8.5,4.5,7.5,6.0,5.5,1.5,4.5
1,914700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5263.0,8,5262.0,-1.0,2.5,1.5,-2.5,2.5,2.0,1.0,-3.0,2.0,5.5,4.5,0.5,5.5,-2.5,-3.5,-7.5,-2.5,6.5,5.5,1.5,6.5,11.5,10.5,6.5,11.5
1,948700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5247.0,6,5246.0,-1.0,3.5,2.5,-2.5,2.5,3.5,2.5,-2.5,2.5,3.5,2.5,-2.5,2.5,7.5,6.5,1.5,6.5,12.0,11.0,6.0,11.0,16.0,15.0,10.0,15.0
1,949400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5248.0,9,5247.0,-1.0,3.5,2.5,-2.5,2.5,2.5,1.5,-3.5,1.5,5.5,4.5,-0.5,4.5,11.0,10.0,5.0,10.0,15.5,14.5,9.5,14.5,14.5,13.5,8.5,13.5
1,984700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5251.0,9,5250.0,-1.0,1.5,0.5,-2.5,2.5,3.5,2.5,-0.5,4.5,3.5,2.5,-0.5,4.5,5.5,4.5,1.5,6.5,8.0,7.0,4.0,9.0,17.0,16.0,13.0,18.0
1,985600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5252.0,14,5251.5,-0.5,2.0,1.5,-2.5,2.5,2.5,2.0,-2.0,3.0,3.0,2.5,-1.5,3.5,2.0,1.5,-2.5,2.5,11.0,10.5,6.5,11.5,15.5,15.0,11.0,16.0
1,986300,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5254.0,10,5253.0,-1.0,2.0,1.0,-3.0,3.0,3.5,2.5,-1.5,4.5,3.5,2.5,-1.5,4.5,0.0,-1.0,-5.0,1.0,7.5,6.5,2.5,8.5,13.0,12.0,8.0,14.0
2,900,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5262.0,8,5261.0,-1.0,1.5,0.5,-2.5,2.5,3.0,2.0,-1.0,4.0,5.5,4.5,1.5,6.5,8.5,7.5,4.5,9.5,15.0,14.0,11.0,16.0,0.5,-0.5,-3.5,1.5
2,12100,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5268.0,5,5267.0,-1.0,1.5,0.5,-2.5,2.5,-0.5,-1.5,-4.5,0.5,-1.0,-2.0,-5.0,0.0,-0.5,-1.5,-4.5,0.5,6.5,5.5,2.5,7.5,3.5,2.5,-0.5,4.5
2,44900,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5257.0,14,5256.5,-0.5,2.0,1.5,-2.5,2.5,-1.5,-2.0,-6.0,-1.0,-1.0,-1.5,-5.5,-0.5,2.0,1.5,-2.5,2.5,4.0,3.5,-0.5,4.5,1.0,0.5,-3.5,1.5
2,48400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5258.0,5,5257.0,-1.0,2.5,1.5,-2.5,2.5,1.0,0.0,-4.0,1.0,2.5,1.5,-2.5,2.5,3.5,2.5,-1.5,3.5,4.5,3.5,-0.5,4.5,-8.5,-9.5,-13.5,-8.5
2,112600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5257.0,10,5256.5,-0.5,2.0,1.5,-2.5,2.5,1.5,1.0,-3.0,2.0,0.0,-0.5,-4.5,0.5,1.0,0.5,-3.5,1.5,3.0,2.5,-1.5,3.5,5.0,4.5,0.5,5.5
2,129300,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5255.0,5,5254.0,-1.0,2.0,1.0,-3.0,3.0,1.5,0.5,-3.5,2.5,0.5,-0.5,-4.5,1.5,2.5,1.5,-2.5,3.5,0.5,-0.5,-4.5,1.5,-0.5,-1.5,-5.5,0.5
2,134300,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5255.0,9,5254.5,-0.5,2.0,1.5,-2.5,2.5,3.0,2.5,-1.5,3.5,2.5,2.0,-2.0,3.0,3.5,3.0,-1.0,4.0,-1.0,-1.5,-5.5,-0.5,8.5,8.0,4.0,9.0
2,156200,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5275.0,14,5274.5,-0.5,2.0,1.5,-2.5,2.5,2.0,1.5,-2.5,2.5,-1.0,-1.5,-5.5,-0.5,1.0,0.5,-3.5,1.5,-3.5,-4.0,-8.0,-3.0,0.0,-0.5,-4.5,0.5
2,157400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5272.0,13,5271.0,-1.0,3.0,2.0,-3.0,3.0,3.5,2.5,-2.5,3.5,4.5,3.5,-1.5,4.5,3.0,2.0,-3.0,3.0,-3.5,-4.5,-9.5,-3.5,-1.5,-2.5,-7.5,-1.5
2,165700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5273.0,10,5272.0,-1.0,2.5,1.5,-2.5,2.5,2.5,1.5,-2.5,2.5,0.5,-0.5,-4.5,0.5,-3.0,-4.0,-8.0,-3.0,-3.5,-4.5,-8.5,-3.5,6.0,5.0,1.0,6.0
2,194700,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5262.0,10,5261.0,-1.0,0.5,-0.5,-2.5,2.5,-1.5,-2.5,-4.5,0.5,2.5,1.5,-0.5,4.5,2.5,1.5,-0.5,4.5,2.5,1.5,-0.5,4.5,2.5,1.5,-0.5,4.5
2,199400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5262.0,8,5261.5,-0.5,2.5,2.0,-3.0,3.0,0.5,0.0,-5.0,1.0,1.0,0.5,-4.5,1.5,-2.5,-3.0,-8.0,-2.0,-1.0,-1.5,-6.5,-0.5,6.0,5.5,0.5,6.5
2,207000,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5268.0,15,5267.0,-1.0,3.5,2.5,-1.5,1.5,1.5,0.5,-3.5,-0.5,3.5,2.5,-1.5,1.5,0.5,-0.5,-4.5,-1.5,0.5,-0.5,-4.5,-1.5,-2.5,-3.5,-7.5,-4.5
2,237600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5271.0,8,5270.0,-1.0,0.5,-0.5,-2.5,2.5,-1.5,-2.5,-4.5,0.5,-5.5,-6.5,-8.5,-3.5,-5.5,-6.5,-8.5,-3.5,5.5,4.5,2.5,7.5,6.5,5.5,3.5,8.5
2,258000,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5271.0,15,5270.5,-0.5,3.0,2.5,-2.5,2.5,4.0,3.5,-1.5,3.5,4.5,4.0,-1.0,4.0,7.5,7.0,2.0,7.0,9.0,8.5,3.5,8.5,13.0,12.5,7.5,12.5
2,285800,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5276.0,6,5275.0,-1.0,2.5,1.5,-2.5,2.5,1.5,0.5,-3.5,1.5,2.5,1.5,-2.5,2.5,1.5,0.5,-3.5,1.5,-2.5,-3.5,-7.5,-2.5,-3.5,-4.5,-8.5,-3.5
2,316800,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5275.0,7,5274.0,-1.0,1.0,0.0,-3.0,3.0,0.5,-0.5,-3.5,2.5,0.5,-0.5,-3.5,2.5,-5.0,-6.0,-9.0,-3.0,-5.0,-6.0,-9.0,-3.0,-11.5,-12.5,-15.5,-9.5
2,323500,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5269.0,14,5268.0,-1.0,2.0,1.0,-3.0,3.0,-0.5,-1.5,-5.5,0.5,2.5,1.5,-2.5,3.5,0.5,-0.5,-4.5,1.5,-1.5,-2.5,-6.5,-0.5,3.0,2.0,-2.0,4.0
2,333200,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5269.0,7,5268.0,-1.0,2.5,1.5,-2.5,2.5,0.5,-0.5,-4.5,0.5,1.0,0.0,-4.0,1.0,1.5,0.5,-3.5,1.5,1.5,0.5,-3.5,1.5,4.5,3.5,-0.5,4.5
2,337000,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5271.0,6,5270.0,-1.0,1.5,0.5,-2.5,2.5,3.5,2.5,-0.5,4.5,1.0,0.0,-3.0,2.0,-1.5,-2.5,-5.5,-0.5,1.0,0.0,-3.0,2.0,-2.5,-3.5,-6.5,-1.5
2,378400,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5249.0,10,5248.0,-1.0,2.5,1.5,-2.5,2.5,5.5,4.5,0.5,5.5,4.5,3.5,-0.5,4.5,4.5,3.5,-0.5,4.5,3.5,2.5,-1.5,3.5,-8.5,-9.5,-13.5,-8.5
2,385100,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5245.0,9,5244.5,-0.5,1.0,0.5,-2.5,2.5,2.5,2.0,-1.0,4.0,2.0,1.5,-1.5,3.5,-5.0,-5.5,-8.5,-3.5,-5.0,-5.5,-8.5,-3.5,1.0,0.5,-2.5,2.5
2,424600,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 22,5232.0,6,5231.0,-1.0,1.0,0.0,-3.0,3.0,4.5,3.5,0.5,6.5,6.5,5.5,2.5,8.5,6.5,5.5,2.5,8.5,5.5,4.5,1.5,7.5,7.5,6.5,3.5,9.5
2,448900,VELVETFRUIT_EXTRACT,Mark 67,BUY,1,Mark 49,5247.0,9,5246.0,-1.0,2.0,1.0,-3.0,3.0,4.5,3.5,-0.5,5.5,1.5,0.5,-3.5,2.5,-1.5,-2.5,-6.5,-0.5,-6.5,-7.5,-11.5,-5.5,-5.5,-6.5,-10.5,-4.5
